pullSeqNo,producedFrameNumber,pullAtNs,latencyNs
1,0,27624314488500,16466334
2,2,27624381391708,17701375
3,3,27624427861791,31121000
4,4,27624433018958,2978333
5,5,27624471346416,7919958
6,6,27624514748583,18382875
7,7,27624545817041,15649041
8,8,27624585898166,22416333
9,9,27624629288958,32291167
10,11,27624672884583,9466500
11,12,27624718081791,21275041
12,13,27624762791000,33249709
13,14,27624767756875,4842250
14,15,27624806733291,9962500
15,16,27624851658458,21567958
16,17,27624895971958,32279917
17,18,27624900976625,3997750
18,19,27624939625625,9546917
19,20,27624985150333,21726583
20,22,27625030383416,814291
21,22,27625035352375,5783250
22,23,27625074422666,10977458
23,24,27625119823291,23045166
24,25,27625150605166,20450291
25,26,27625194266166,31313625
26,28,27625234459708,4364208
27,29,27625279068500,15695000
28,30,27625321674583,24844167
29,30,27625326626791,29796375
30,32,27625365590166,2176833
31,33,27625410810708,14037208
32,34,27625462689958,32613792
33,35,27625467657416,3967833
34,36,27625506344166,10051416
35,37,27625551356875,21287875
36,38,27625596469125,32882709
37,39,27625601477333,4326833
38,40,27625640359958,10279000
39,41,27625685414666,21947625
40,42,27625730021458,33015458
41,43,27625735031916,4842708
42,44,27625774191041,10755958
43,45,27625819152208,22372292
44,47,27625863868666,464958
45,47,27625868899875,5496167
46,48,27625907739958,10980042
47,49,27625952544708,22450458
48,51,27625996802916,928000
49,51,27626001795416,5920500
50,52,27626040744208,10640792
51,53,27626085367250,21921000
52,55,27626130273916,203208
53,55,27626135250083,5179375
54,56,27626173643458,10210167
55,57,27626219115875,22323084
56,59,27626263902791,510916
57,59,27626268900375,5508500
58,60,27626307562625,10793209
59,61,27626352285458,22191750
60,63,27626404798708,8047292
61,63,27626409748791,12997375
62,64,27626448239666,18121333
63,65,27626492624625,29235334
64,66,27626497592041,1392416
65,67,27626537863875,7778375
66,68,27626567717833,3952125
67,69,27626606524458,9800458
68,70,27626650321166,20218666
69,71,27626695487541,31981708
70,72,27626722038291,24889208
71,72,27626726932625,29783542
72,74,27626765680500,2303667
73,75,27626809103875,12331625
74,76,27626853821833,24583792
75,78,27626905521291,8756458
76,79,27626949050333,18940500
77,80,27626994574833,31169833
78,81,27626999441375,2744667
79,82,27627039175458,9065917
80,83,27627082386666,18952500
81,84,27627127493708,30757583
82,85,27627132512500,2384375
83,86,27627172314041,8840833
