elapsedSec,produced,signal,pull,widget
1,61,60,60,46
2,121,120,120,46
3,181,180,180,46
4,241,240,240,46
5,301,300,300,46
6,361,360,360,46
7,421,420,420,46
8,481,480,480,46
9,541,540,540,46
10,601,600,600,46
11,661,660,660,46
12,721,720,720,46
13,781,780,780,46
14,841,840,840,46
15,901,900,900,46
16,961,960,960,46
17,1021,1020,1020,46
18,1081,1080,1080,46
19,1141,1140,1140,46
20,1201,1200,1200,46
21,1261,1260,1260,46
22,1321,1320,1320,46
23,1381,1380,1380,46
24,1441,1440,1440,46
25,1501,1500,1500,46
26,1561,1560,1560,46
27,1621,1620,1620,46
28,1681,1680,1680,46
29,1741,1740,1740,46
30,1801,1800,1800,46
31,1861,1860,1860,46
32,1921,1920,1920,46
33,1981,1980,1980,46
34,2041,2040,2040,46
35,2101,2100,2100,46
36,2161,2160,2160,46
37,2221,2220,2220,46
38,2281,2280,2280,46
39,2341,2340,2340,46
40,2401,2400,2400,46
41,2461,2460,2460,46
42,2521,2520,2520,46
43,2581,2580,2580,46
44,2641,2640,2640,46
45,2701,2700,2700,46
46,2761,2760,2760,46
47,2821,2820,2820,46
48,2881,2880,2880,46
49,2941,2940,2940,46
50,3001,3000,3000,46
51,3061,3060,3060,46
52,3121,3120,3120,46
53,3181,3180,3180,46
54,3241,3240,3240,46
55,3301,3300,3300,46
56,3361,3360,3360,46
57,3421,3420,3420,46
58,3481,3480,3480,46
59,3541,3540,3540,46
60,3601,3600,3600,46
