elapsedSec,produced,signal,pull,widget
1,31,30,27,46
2,61,60,57,91
3,91,90,86,135
4,121,120,116,180
5,151,150,146,225
6,181,180,175,269
7,211,210,202,314
8,241,240,232,358
9,271,270,262,403
10,301,300,292,448
11,331,330,322,491
12,361,360,349,535
13,391,390,375,580
14,421,420,401,626
15,451,450,430,670
16,481,480,460,714
17,511,510,488,759
18,541,540,516,803
19,571,570,544,845
20,601,600,570,888
21,631,630,598,930
22,661,660,627,973
23,691,690,654,1018
24,721,720,683,1062
25,751,750,713,1107
26,781,780,743,1150
27,811,810,772,1195
28,841,840,799,1240
29,871,870,829,1284
30,901,900,854,1329
31,931,930,882,1373
32,961,960,913,1417
33,991,990,940,1462
34,1021,1020,967,1507
35,1051,1050,997,1551
36,1081,1080,1026,1597
37,1111,1110,1055,1641
38,1141,1140,1084,1686
39,1171,1170,1114,1730
40,1201,1200,1144,1775
41,1231,1230,1174,1820
42,1261,1260,1204,1865
43,1291,1290,1234,1909
44,1321,1320,1260,1954
45,1351,1350,1288,1998
46,1381,1380,1318,2043
47,1411,1410,1348,2087
48,1441,1440,1378,2132
49,1471,1470,1404,2177
50,1501,1500,1434,2222
51,1531,1530,1464,2266
52,1561,1560,1492,2310
53,1591,1590,1521,2355
54,1621,1620,1548,2399
55,1651,1650,1576,2444
56,1681,1680,1604,2486
57,1711,1710,1633,2530
58,1741,1740,1660,2567
59,1771,1770,1683,2607
60,1801,1800,1709,2644
