pullSeqNo,producedFrameNumber,pullAtNs,latencyNs
1,0,27557202049333,9026250
2,1,27557222262291,4281583
3,2,27557255522750,4804334
4,3,27557288894750,5041500
5,4,27557322382708,5321375
6,5,27557355622875,4156542
7,6,27557401636916,16639583
8,7,27557422178291,4721958
9,8,27557455951666,5303708
10,9,27557489558125,3838417
11,10,27557522910625,4355000
12,11,27557556256666,4347958
13,12,27557588907750,2329542
14,13,27557622533875,2575667
15,14,27557655769583,2514500
16,15,27557689114583,2558792
17,16,27557722400875,2503792
18,17,27557755753375,2407167
19,18,27557789051666,3224500
20,19,27557822457208,2528375
21,20,27557855722875,2518000
22,21,27557889187083,2601125
23,22,27557922499916,2583916
24,23,27557955873041,2516333
25,24,27557989259791,2606625
26,25,27558022496375,2496167
27,26,27558055889750,2576709
28,27,27558089265333,2614333
29,28,27558122618541,2511416
30,29,27558155910833,2738792
31,30,27558189217958,3199208
32,31,27558222656875,2687250
33,32,27558255519083,2158625
34,33,27558289371416,2749750
35,34,27558322675375,2738792
36,35,27558356004041,2781583
37,36,27558389397791,2772250
38,37,27558422693583,3364125
39,38,27558456083958,2819000
40,39,27558489451791,2818875
41,40,27558522746291,2766375
42,41,27558555738166,4051041
43,42,27558589353416,2789000
44,43,27558622773416,2933958
45,44,27558656051083,2699000
46,45,27558689528625,2883500
47,46,27558722824875,2945250
48,47,27558756228416,2909291
49,48,27558789130708,4038500
50,49,27558822812500,3185375
51,50,27558856231166,2971666
52,51,27558889602416,2985916
53,52,27558922944500,3007875
54,53,27558956338500,3108000
55,54,27558989198000,4137625
56,55,27559022531500,3043959
57,56,27559056305583,3039625
58,57,27559089677041,3045166
59,58,27559122823375,2821000
60,59,27559156383541,4452875
61,60,27559189392208,3256833
62,61,27559222950583,2951583
63,62,27559256389375,3076625
64,63,27559289324000,4290209
65,64,27559323039791,3498375
66,65,27559356431916,3161083
67,66,27559389781416,3072625
68,67,27559423121708,3186792
69,68,27559456483000,3256084
